STATE/UT,Year,Murder,Rape,Kidnapping Abduction,Dacoity,Robbery,Arson,Hurt,Protection of Civil Rights (PCR) Act,Prevention of atrocities (POA) Act,Other Crimes Against STs
A & N ISLANDS,2003,0,0,1,0,0,0,0,0,0,0
CHANDIGARH,2003,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2003,2,0,0,0,0,0,2,0,0,19
DAMAN & DIU,2003,0,1,0,0,0,0,0,0,0,0
DELHI,2003,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2003,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2003,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2004,10,34,9,0,0,1,81,4,147,280
ARUNACHAL PRADESH,2004,2,3,7,0,0,0,15,0,0,48
ASSAM,2004,1,1,1,0,2,0,5,0,0,2
BIHAR,2004,0,1,0,0,0,0,10,5,25,4
CHHATTISGARH,2004,32,100,14,6,1,0,47,0,201,275
GOA,2004,0,0,0,0,0,0,0,0,0,0
GUJARAT,2004,6,21,6,29,34,1,35,0,59,50
HARYANA,2004,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2004,0,1,0,0,0,0,0,0,2,8
JAMMU & KASHMIR,2004,0,0,0,0,0,0,0,0,0,1
JHARKHAND,2004,10,13,7,0,1,0,9,0,40,43
KARNATAKA,2004,3,1,0,0,2,0,10,1,118,38
KERALA,2004,2,19,1,0,0,1,21,0,11,27
MADHYA PRADESH,2004,43,270,15,1,3,11,245,0,212,867
MAHARASHTRA,2004,6,38,4,3,1,7,11,0,40,121
MANIPUR,2004,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2004,0,0,0,0,0,0,0,0,0,0
MIZORAM,2004,0,0,0,0,0,0,0,0,0,0
NAGALAND,2004,0,0,0,0,0,0,0,0,0,0
ODISHA,2004,24,33,11,1,2,3,79,0,159,207
PUNJAB,2004,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,2004,15,25,4,0,4,8,176,0,147,652
SIKKIM,2004,1,0,0,0,0,1,19,0,0,11
TAMIL NADU,2004,0,2,0,0,0,0,4,1,7,13
TRIPURA,2004,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,2004,0,0,0,0,0,0,0,0,0,5
UTTARAKHAND,2004,0,0,0,0,0,0,0,0,3,0
WEST BENGAL,2004,0,2,0,0,0,0,0,0,4,3
A & N ISLANDS,2004,0,0,0,0,0,0,0,0,0,1
CHANDIGARH,2004,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2004,1,1,0,0,0,0,0,0,0,2
DAMAN & DIU,2004,0,1,0,0,0,0,0,0,0,0
DELHI,2004,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2004,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2004,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2005,12,34,2,0,1,1,70,0,196,199
ARUNACHAL PRADESH,2005,1,3,1,1,2,0,25,0,0,21
ASSAM,2005,23,19,21,4,14,5,63,0,0,67
BIHAR,2005,0,2,3,0,2,0,11,0,59,5
CHHATTISGARH,2005,20,104,9,0,0,0,81,0,93,190
GOA,2005,0,0,0,0,0,0,0,0,1,0
GUJARAT,2005,4,19,6,17,20,2,32,0,73,64
HARYANA,2005,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2005,0,1,0,0,0,0,0,2,2,5
JAMMU & KASHMIR,2005,0,0,0,0,0,0,0,0,0,0
JHARKHAND,2005,13,20,4,0,0,3,30,160,152,101
KARNATAKA,2005,5,6,0,0,0,0,7,0,85,58
KERALA,2005,2,24,0,0,1,0,19,0,8,28
MADHYA PRADESH,2005,48,294,14,1,3,15,199,0,252,789
MAHARASHTRA,2005,10,41,4,1,2,0,7,0,52,107
MANIPUR,2005,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2005,0,0,0,0,0,0,0,0,0,0
MIZORAM,2005,0,0,0,0,0,0,0,0,0,0
NAGALAND,2005,0,0,0,0,0,0,0,0,0,0
NAGALAND,2005,0,0,0,0,0,0,0,0,0,0
ODISHA,2005,15,30,4,2,2,5,96,0,204,244
PUNJAB,2005,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,2005,11,29,3,0,1,5,117,0,91,606
SIKKIM,2005,0,3,0,1,1,2,8,0,0,7
TAMIL NADU,2005,0,2,0,0,0,0,0,0,10,1
TRIPURA,2005,0,1,0,0,0,0,0,0,1,10
UTTAR PRADESH,2005,0,0,0,0,0,0,2,0,0,4
UTTARAKHAND,2005,0,0,1,0,0,0,0,0,0,0
WEST BENGAL,2005,0,7,0,0,0,0,0,0,3,2
A & N ISLANDS,2005,0,1,0,0,0,0,0,0,0,1
CHANDIGARH,2005,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2005,0,0,0,0,0,0,0,0,0,2
DAMAN & DIU,2005,0,0,0,0,0,0,0,0,0,0
DELHI,2005,0,0,0,0,0,0,0,0,1,0
LAKSHADWEEP,2005,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2005,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2006,8,60,4,0,0,2,118,12,298,291
ARUNACHAL PRADESH,2006,0,2,4,0,0,0,11,0,0,10
ASSAM,2006,26,24,24,5,14,9,71,0,0,71
BIHAR,2006,1,3,0,0,0,2,12,0,32,6
CHHATTISGARH,2006,27,97,3,0,0,1,57,0,161,237
GOA,2006,0,0,0,0,0,0,0,0,0,0
GUJARAT,2006,6,23,8,1,0,2,25,0,53,46
HARYANA,2006,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2006,0,0,0,0,0,0,0,2,7,8
JAMMU & KASHMIR,2006,0,0,0,0,0,0,0,0,0,0
JHARKHAND,2006,13,21,13,0,2,4,117,34,91,37
KARNATAKA,2006,4,7,1,0,0,0,13,1,117,71
KERALA,2006,0,23,1,0,0,0,26,0,2,23
MADHYA PRADESH,2006,45,284,14,0,1,10,183,0,218,743
MAHARASHTRA,2006,11,56,3,0,0,8,18,0,58,113
MANIPUR,2006,0,20,0,0,0,0,1,0,0,5
MEGHALAYA,2006,0,0,0,0,0,0,0,0,0,0
MIZORAM,2006,0,0,0,0,0,0,0,0,0,0
NAGALAND,2006,28,7,9,6,10,0,0,0,0,49
ODISHA,2006,6,30,2,0,1,0,56,0,162,92
PUNJAB,2006,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,2006,20,32,2,0,1,6,118,0,26,762
SIKKIM,2006,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2006,0,1,0,0,0,2,11,0,1,9
TRIPURA,2006,0,7,0,0,0,0,1,0,0,1
UTTAR PRADESH,2006,0,0,0,0,0,0,0,0,5,6
UTTARAKHAND,2006,0,1,0,0,0,0,0,0,0,0
WEST BENGAL,2006,0,1,0,0,0,0,0,0,1,5
A & N ISLANDS,2006,0,0,0,0,0,0,0,0,0,17
CHANDIGARH,2006,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2006,0,0,0,0,0,0,0,0,0,1
DAMAN & DIU,2006,0,0,0,0,0,0,0,0,0,0
DELHI,2006,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2006,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2006,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2007,11,44,10,0,0,4,87,3,303,291
ARUNACHAL PRADESH,2007,0,2,4,0,2,0,14,0,0,10
ASSAM,2007,4,3,10,3,5,0,8,0,0,16
BIHAR,2007,1,9,0,0,1,1,14,0,33,6
CHHATTISGARH,2007,13,81,7,1,0,4,109,0,143,257
GOA,2007,0,0,0,0,0,0,0,0,0,0
GUJARAT,2007,13,12,7,0,2,1,31,0,44,46
HARYANA,2007,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2007,0,0,0,0,0,0,0,0,2,0
JAMMU & KASHMIR,2007,0,0,0,0,0,0,0,0,0,0
JHARKHAND,2007,20,22,7,4,2,0,66,0,63,84
KARNATAKA,2007,1,3,0,0,1,1,13,0,110,76
KERALA,2007,2,16,0,0,0,3,29,0,4,34
MADHYA PRADESH,2007,47,288,17,0,2,8,207,0,206,726
MAHARASHTRA,2007,8,43,8,1,1,2,10,0,54,112
MANIPUR,2007,0,1,0,0,0,0,0,0,0,0
MEGHALAYA,2007,0,0,0,0,0,0,0,0,0,0
MIZORAM,2007,0,0,0,0,0,0,0,0,0,0
NAGALAND,2007,0,0,0,0,0,0,0,0,0,0
ODISHA,2007,2,45,10,0,4,2,150,0,111,70
PUNJAB,2007,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,2007,17,45,5,0,1,28,98,0,25,891
SIKKIM,2007,0,3,1,0,0,0,8,1,0,0
TAMIL NADU,2007,0,3,0,0,0,0,8,0,0,6
TRIPURA,2007,1,4,0,0,0,0,1,0,0,0
UTTAR PRADESH,2007,0,0,0,0,0,0,0,0,4,0
UTTARAKHAND,2007,0,0,0,0,0,0,1,0,0,0
WEST BENGAL,2007,0,1,1,0,0,0,0,1,2,0
A & N ISLANDS,2007,0,0,0,0,0,0,0,0,0,1
CHANDIGARH,2007,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2007,0,0,2,0,0,0,1,0,0,0
DAMAN & DIU,2007,0,1,0,0,0,0,0,0,0,2
DELHI,2007,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2007,0,1,0,0,0,0,0,0,0,0
PUDUCHERRY,2007,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2008,7,37,2,0,0,2,123,5,258,316
ARUNACHAL PRADESH,2008,0,0,2,0,0,0,38,0,0,23
ASSAM,2008,7,7,13,5,6,7,26,0,0,59
BIHAR,2008,1,1,0,0,1,1,17,0,54,24
CHHATTISGARH,2008,17,100,0,0,0,1,14,0,1,291
GOA,2008,0,0,0,0,0,0,0,0,0,1
GUJARAT,2008,5,26,13,3,1,1,43,1,66,64
HARYANA,2008,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2008,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2008,0,0,0,0,0,0,0,0,0,0
JHARKHAND,2008,4,18,5,1,0,1,50,0,104,48
KARNATAKA,2008,3,6,0,0,0,0,16,0,172,203
KERALA,2008,1,23,1,0,0,0,36,0,2,43
MADHYA PRADESH,2008,45,234,20,1,0,11,169,0,0,591
MAHARASHTRA,2008,11,46,7,3,1,8,18,0,47,127
MANIPUR,2008,0,0,1,0,0,0,0,0,0,0
MEGHALAYA,2008,0,0,0,0,0,0,0,0,0,0
MIZORAM,2008,0,0,0,0,0,0,0,0,0,0
NAGALAND,2008,0,0,0,0,0,0,0,0,0,0
ODISHA,2008,6,38,9,0,8,5,85,0,141,216
PUNJAB,2008,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,2008,15,40,8,0,0,9,130,0,17,819
SIKKIM,2008,0,2,1,0,0,0,5,0,0,4
TAMIL NADU,2008,0,2,0,0,0,0,5,0,1,6
TRIPURA,2008,1,2,0,0,0,0,1,0,1,9
UTTAR PRADESH,2008,0,0,0,0,0,0,0,0,9,0
UTTARAKHAND,2008,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2008,0,3,1,0,0,0,1,0,5,7
A & N ISLANDS,2008,1,0,0,0,0,0,0,0,2,0
CHANDIGARH,2008,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2008,0,0,4,0,0,0,0,0,2,4
DAMAN & DIU,2008,0,0,0,0,0,0,0,0,0,0
DELHI,2008,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2008,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2008,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2009,4,37,1,0,0,0,130,2,326,330
ARUNACHAL PRADESH,2009,0,0,0,0,0,1,14,0,0,6
ASSAM,2009,3,1,0,0,3,0,0,0,0,2
BIHAR,2009,1,1,0,0,0,2,5,0,31,27
CHHATTISGARH,2009,21,94,0,0,0,1,16,0,2,242
GOA,2009,0,0,0,0,0,0,0,0,0,0
GUJARAT,2009,8,19,9,0,3,2,26,0,77,51
HARYANA,2009,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2009,0,0,0,0,0,0,0,0,1,0
JAMMU & KASHMIR,2009,0,0,0,0,0,0,0,0,0,0
JHARKHAND,2009,6,13,5,1,1,1,50,0,62,43
KARNATAKA,2009,2,5,1,0,1,0,12,0,147,104
KERALA,2009,0,28,1,0,0,1,28,0,6,38
MADHYA PRADESH,2009,41,263,27,0,1,6,216,0,0,581
MAHARASHTRA,2009,8,50,1,1,1,6,6,0,37,114
MANIPUR,2009,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2009,0,0,0,0,0,0,0,0,0,0
MIZORAM,2009,0,0,0,0,0,0,0,0,0,0
NAGALAND,2009,0,0,0,0,0,0,0,0,0,0
ODISHA,2009,14,33,13,1,12,1,77,0,80,321
PUNJAB,2009,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,2009,12,39,6,0,0,5,120,0,21,980
SIKKIM,2009,1,1,1,0,0,0,7,0,0,4
TAMIL NADU,2009,0,0,0,0,0,0,5,0,17,0
TRIPURA,2009,0,4,1,0,0,1,3,0,0,18
UTTAR PRADESH,2009,1,0,0,0,0,0,0,0,2,1
UTTARAKHAND,2009,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2009,0,1,0,0,0,0,0,0,8,7
A & N ISLANDS,2009,0,0,0,0,0,0,0,0,1,1
CHANDIGARH,2009,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2009,0,0,0,0,0,0,0,0,4,12
DAMAN & DIU,2009,0,0,0,0,0,0,0,0,0,0
DELHI,2009,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2009,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2009,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2010,7,41,1,0,0,2,102,4,225,425
ARUNACHAL PRADESH,2010,0,0,2,0,0,0,17,0,0,35
ASSAM,2010,1,0,0,0,0,0,0,0,1,1
BIHAR,2010,1,1,0,0,0,1,15,0,33,20
CHHATTISGARH,2010,6,98,0,0,0,0,18,0,0,264
GOA,2010,0,0,0,0,0,0,0,0,0,0
GUJARAT,2010,8,19,13,1,1,1,41,0,34,37
HARYANA,2010,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2010,0,0,0,0,0,0,0,0,2,0
JAMMU & KASHMIR,2010,0,0,0,0,0,0,0,0,0,0
JHARKHAND,2010,10,18,3,5,2,1,75,0,75,45
KARNATAKA,2010,5,4,0,0,0,0,14,0,168,103
KERALA,2010,1,18,0,0,0,1,25,0,13,30
MADHYA PRADESH,2010,47,308,30,0,0,13,329,1,4,652
MAHARASHTRA,2010,9,46,8,1,1,7,11,0,55,154
MANIPUR,2010,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2010,0,0,0,0,0,0,0,0,0,0
MIZORAM,2010,0,0,0,0,0,0,0,0,0,0
NAGALAND,2010,0,0,0,0,0,0,0,0,0,0
ODISHA,2010,6,42,4,0,0,1,118,0,355,30
PUNJAB,2010,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,2010,21,42,4,0,0,6,143,0,26,1077
SIKKIM,2010,0,0,0,0,0,0,1,0,0,0
TAMIL NADU,2010,2,0,1,0,0,0,0,0,25,5
TRIPURA,2010,0,2,1,0,1,0,5,0,0,26
UTTAR PRADESH,2010,0,0,0,0,0,0,0,0,0,0
UTTARAKHAND,2010,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2010,0,1,1,0,0,0,2,0,21,22
A & N ISLANDS,2010,0,0,0,0,0,0,1,0,0,0
CHANDIGARH,2010,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2010,0,0,1,0,0,0,0,0,0,1
DAMAN & DIU,2010,0,0,0,0,0,0,0,0,0,0
DELHI,2010,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2010,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2010,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2011,9,46,5,0,0,0,112,3,233,397
ARUNACHAL PRADESH,2011,2,3,6,0,1,0,7,0,0,15
ASSAM,2011,0,0,0,0,0,0,0,0,1,1
BIHAR,2011,1,1,0,0,0,1,19,0,71,4
CHHATTISGARH,2011,22,90,6,0,2,0,67,0,1,148
GOA,2011,0,0,0,0,0,0,0,0,1,0
GUJARAT,2011,9,20,16,1,1,3,42,0,23,38
HARYANA,2011,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2011,0,0,0,0,0,0,0,0,4,0
JAMMU & KASHMIR,2011,0,0,0,0,0,0,0,0,0,0
JHARKHAND,2011,4,27,30,1,0,0,63,0,104,80
KARNATAKA,2011,3,2,0,0,0,0,17,4,162,97
KERALA,2011,0,109,0,0,0,0,42,0,22,58
MADHYA PRADESH,2011,49,306,39,2,1,5,263,0,1,618
MAHARASHTRA,2011,16,57,11,3,2,4,18,0,61,149
MANIPUR,2011,0,0,0,0,0,0,0,0,0,1
MEGHALAYA,2011,0,0,0,0,0,0,0,0,0,0
MIZORAM,2011,0,0,0,0,0,0,0,0,0,0
NAGALAND,2011,0,0,0,0,0,0,0,0,0,0
ODISHA,2011,6,45,4,0,0,3,20,0,406,0
PUNJAB,2011,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,2011,19,50,18,0,1,7,108,0,20,1040
SIKKIM,2011,0,0,1,0,1,1,4,0,0,1
TAMIL NADU,2011,0,3,0,0,0,0,15,0,4,1
TRIPURA,2011,1,7,0,0,0,0,6,0,1,15
UTTAR PRADESH,2011,2,0,0,0,0,0,0,0,18,15
UTTARAKHAND,2011,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2011,0,4,1,0,0,0,0,0,19,17
A & N ISLANDS,2011,0,1,0,0,0,0,0,0,2,4
CHANDIGARH,2011,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2011,0,1,0,0,0,0,0,0,0,1
DAMAN & DIU,2011,0,0,0,0,0,0,0,0,0,0
DELHI,2011,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2011,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2011,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2012,16,42,0,0,1,2,132,0,127,346
ARUNACHAL PRADESH,2012,0,0,1,0,0,0,6,0,0,3
ASSAM,2012,0,0,0,0,0,0,0,0,0,0
BIHAR,2012,1,0,0,0,0,0,0,0,118,0
CHHATTISGARH,2012,19,118,10,0,2,0,66,0,0,129
GOA,2012,0,0,0,0,0,0,0,0,0,1
GUJARAT,2012,11,21,13,0,0,1,47,0,65,63
HARYANA,2012,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2012,0,0,0,0,0,0,0,0,3,0
JAMMU & KASHMIR,2012,0,0,0,0,0,0,0,0,0,0
JHARKHAND,2012,5,5,5,0,5,0,77,0,133,57
KARNATAKA,2012,9,4,1,0,0,2,21,1,164,172
KERALA,2012,1,39,1,0,0,0,27,0,10,46
MADHYA PRADESH,2012,62,288,45,0,1,8,247,0,0,567
MAHARASHTRA,2012,11,56,7,4,3,1,17,1,53,155
MANIPUR,2012,0,1,0,0,0,0,0,0,0,1
MEGHALAYA,2012,0,0,0,0,0,0,0,0,0,0
MIZORAM,2012,0,0,0,0,0,0,0,0,0,0
NAGALAND,2012,0,0,0,0,0,0,0,0,0,0
ODISHA,2012,3,70,3,1,2,5,25,0,579,0
PUNJAB,2012,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,2012,15,59,7,0,0,5,123,0,31,1111
SIKKIM,2012,0,1,1,0,0,0,2,0,0,0
TAMIL NADU,2012,1,2,0,0,0,1,17,0,5,1
TRIPURA,2012,0,1,1,0,1,0,6,0,0,20
UTTAR PRADESH,2012,0,2,1,0,0,1,1,0,12,27
UTTARAKHAND,2012,0,0,0,0,0,0,0,0,3,0
WEST BENGAL,2012,2,20,7,0,0,0,2,0,5,55
A & N ISLANDS,2012,0,0,0,0,0,0,0,0,2,2
CHANDIGARH,2012,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2012,0,0,0,0,0,0,0,0,1,3
DAMAN & DIU,2012,0,0,0,0,0,0,0,0,0,0
DELHI,2012,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2012,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2012,0,0,0,0,0,0,0,0,0,0
